"G_name";"processor";"memory";"graphics";"storage_GB_";"price_$_";"platform";"ReviewScore_outof100";"PCprice_Rs"
"Age Of Empires II";"i5";"4GB";"Geforce GTX 1050 Ti";30;15;"WINDOWS";81;96000
"Age of Empires II: Definitive Edition";"i3";"8GB";"Geforce GTX 1060";30;20;"WINDOWS";90;98000
"Anno 1800";"i3";"8GB";"Geforce GTX 1060";40;28;"WINDOWS";81;98000
"Apex";"i7";"16GB";"Geforce GTX 1060";30;3;"WINDOWS";88;141000
"Apex Legends";"i7";"16GB";"Geforce GTX 1050 Ti";35;0;"WINDOWS";88;137000
"ARK: Survival Evolved";"i5";"16GB";"Geforce GTX 1060";60;50;"WINDOWS";71;113000
"Assassin's Creed Odyssey";"i5";"16GB";"Geforce GTX 1060";46;60;"WINDOWS";98;113000
"Assassin's Creed Origins";"i5";"16GB";"Geforce GTX 1070 Ti";42;60;"WINDOWS";81;129000
"Assassin's Creed Unity";"i5";"16GB";"Geforce GTX 1070 Ti";50;30;"WINDOWS";77;129000
"Assassins Creed";"i7";"8GB";"Geforce GTX 1060";50;13;"WINDOWS";80;131000
"Battlefield 5";"i7";"16GB";"Geforce GTX 1070 Ti";50;50;"WINDOWS";81;157000
"Black Desert";"i3";"4GB";"Geforce GTX 1070 Ti";15;0;"WINDOWS";73;111000
"Black Desert 2";"i5";"4GB";"Geforce GTX 1070 Ti";28;100;"WINDOWS";73;116000
"Call of Duty: Black Ops II";"i5";"4GB";"Geforce GTX 1070 Ti";16;60;"WINDOWS";74;116000
"Call of Duty: Black Ops III";"i3";"4GB";"Geforce GTX 1050 Ti";100;36;"WINDOWS";73;91000
"Call of Duty: Modern Warfare";"i7";"16GB";"Geforce GTX 1050 Ti";55;40;"WINDOWS";89;137000
"Cities: Skylines";"i7";"4GB";"Geforce GTX 1050 Ti";5;30;"WINDOWS";85;124000
"CLASH OF CLANS";"i5";"8GB";"Geforce GTX 1080";90;20;"Windows";89;110023
"Counter Strike:Global Offensive";"i3";"4GB";"Geforce GTX 1050 Ti";15;0;"WINDOWS";83;91000
"CRUCIBLE";"i7";"8GB";"Geforce GTX 1060";15;16;"WINDOWS";60;131000
"Dead by Daylight";"i3";"16GB";"Geforce GTX 1060";25;20;"WINDOWS";71;108000
"Destiny 2";"i7";"16GB";"Geforce GTX 1060";105;0;"WINDOWS";83;141000
"Destiny 2: Beyond Light";"i7";"8GB";"Geforce GTX 1060";105;70;"WINDOWS";83;131000
"Divinity";"i5";"4GB";"Geforce GTX 1060";16;0;"WINDOWS";94;100000
"Divinity:Original";"i5";"4GB";"Geforce GTX 1050 Ti";10;0;"WINDOWS";94;96000
"DOOM Eternal";"i5";"8GB";"Geforce GTX 1060";50;31;"WINDOWS";90;103000
"Dota 2";"i7";"4GB";"Geforce GTX 1050 Ti";15;0;"WINDOWS";90;124000
"Euro Truck Simulator 2";"i3";"4GB";"Geforce GTX 1060";3;20;"WINDOWS";79;95000
"Fallout 4";"i3";"16GB";"Geforce GTX 1070 Ti";30;55;"WINDOWS";84;124000
"Far Cry 3";"i5";"4GB";"Geforce GTX 1070 Ti";15;20;"WINDOWS";88;116000
"Far Cry 5";"i3";"16GB";"Geforce GTX 1070 Ti";40;60;"WINDOWS";89;124000
"Farming Simulator 19";"i3";"4GB";"Geforce GTX 1060";23;25;"WINDOWS";77;95000
"FIFA 19";"i3";"8GB";"Geforce GTX 1050 Ti";50;40;"WINDOWS";81;94000
"Fifa 20";"i7";"8GB";"Geforce GTX 1060";50;21;"WINDOWS";20;131000
"FINAL FANTASY XIV Online";"i5";"4GB";"Geforce GTX 1050 Ti";60;15;"WINDOWS";83;96000
"Football Manager 2020";"i5";"4GB";"Geforce GTX 1050 Ti";50;30;"WINDOWS";87;96000
"Fortnite";"i3";"8GB";"Geforce GTX 1050 Ti";15;0;"WINDOWS";81;94000
"Grand Theft Auto V (GTA 5)";"i7";"4GB";"Geforce GTX 1060";72;15;"WINDOWS";96;128000
"GTA IV";"i5";"16GB";"Geforce GTX 1050 Ti";16;11;"WINDOWS";90;109000
"GTA:Vice City";"i5";"4GB";"Geforce GTX 1050 Ti";10;3;"WINDOWS";94;96000
"iRacing";"i5";"8GB";"Geforce GTX 1060";6;0;"WINDOWS";79;103000
"League of Legends";"i7";"16GB";"Geforce GTX 1060";12;16;"WINDOWS";76;141000
"Mass Effect 2";"i3";"4GB";"Geforce GTX 1070 Ti";14;4;"WINDOWS";94;111000
"Metro Exodus";"i7";"16GB";"Geforce GTX 1070 Ti";59;40;"WINDOWS";95;157000
"MINECRAFT";"i3";"8GB";"Geforce GTX 1070 Ti";4;0;"WINDOWS";93;114000
"MONSTER HUNTER: WORLD";"i5";"16GB";"Geforce GTX 1070 Ti";20;30;"WINDOWS";88;129000
"Monster Hunter:World";"i7";"8GB";"Geforce GTX 1070 Ti";20;21;"WINDOWS";88;147000
"Mount and Blade";"i7";"8GB";"Geforce GTX 1070 Ti";16;0;"WINDOWS";78;147000
"NBA 2K20";"i5";"8GB";"Geforce GTX 1050 Ti";80;13;"WINDOWS";79;99000
"No Man's Sky";"i3";"16GB";"Geforce GTX 1070 Ti";10;60;"WINDOWS";61;124000
"Overwatch";"i3";"4GB";"Geforce GTX 1060";30;40;"WINDOWS";91;95000
"Planet Zoo";"i5";"16GB";"Geforce GTX 1060";16;50;"WINDOWS";82;113000
"Portal 2";"i7";"4GB";"Geforce GTX 1070 Ti";10;0;"WINDOWS";95;144000
"Pubg Lite";"i3";"4GB";"Geforce GTX 1050 Ti";4;0;"WINDOWS";86;91000
"PUBG PC";"i7";"16GB";"Geforce GTX 1050 Ti";35;31;"WINDOWS";86;137000
"Rust";"i7";"16GB";"Geforce GTX 1070 Ti";20;40;"WINDOWS";69;157000
"Scrap Mechanic";"i3";"16GB";"Geforce GTX 1060";15;20;"WINDOWS";85;108000
"Sid Meier?s Civilization VI";"i7";"4GB";"Geforce GTX 1050 Ti";15;60;"WINDOWS";88;124000
"Star Citizen";"i3";"16GB";"Geforce GTX 1050 Ti";40;11;"WINDOWS";42;104000
"Star Citizen 2";"i7";"16GB";"Geforce GTX 1060";40;10;"WINDOWS";42;141000
"STAR WARS Jedi: Fallen Order";"i5";"8GB";"Geforce GTX 1070 Ti";55;35;"WINDOWS";90;119000
"Terraria";"i3";"8GB";"Geforce GTX 1060";2;10;"WINDOWS";83;98000
"The Borderlands 2";"i5";"4GB";"Geforce GTX 1050 Ti";20;26;"WINDOWS";90;96000
"The Elder Scrolls V: Skyrim";"i5";"4GB";"Geforce GTX 1060";6;16;"WINDOWS";94;100000
"The red dead redemption 2";"i7";"16GB";"Geforce GTX 1060";150;30;"WINDOWS";94;141000
"The Sims 4";"i3";"16GB";"Geforce GTX 1050 Ti";20;41;"WINDOWS";70;104000
"The Witcher 3";"i3";"8GB";"Geforce GTX 1070 Ti";55;40;"WINDOWS";93;114000
"Tom Clancy's Rainbow Six Siege";"i3";"16GB";"Geforce GTX 1050 Ti";61;20;"WINDOWS";79;104000
"Total War: WARHAMMER II";"i3";"16GB";"Geforce GTX 1060";51;60;"WINDOWS";87;108000
"Valorant";"i3";"8GB";"Geforce GTX 1070 Ti";120;0;"WINDOWS";81;114000
"Warzone";"i7";"16GB";"Geforce GTX 1060";197;61;"WINDOWS";79;141000
"World of Warcraft";"i7";"8GB";"Geforce GTX 1050 Ti";5;15;"WINDOWS";93;127000
